City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,bo phloi,14.3236,99.5161,27.82,73,100,2.68,TH,1686628092
83,freetown,8.484,-13.2299,23.84,100,75,2.06,SL,1686628021
84,constantia,44.1833,28.65,13.38,81,39,7.3,RO,1686627991
85,holualoa,19.6228,-155.9522,25.91,84,100,5.66,US,1686627916
86,kingston,17.997,-76.7936,28.53,77,20,6.69,JM,1686627827
87,iqaluit,63.7506,-68.5145,-0.15,80,100,2.06,CA,1686627976
88,port alfred,-33.5906,26.891,13.43,63,100,3.58,ZA,1686627980
89,colonia,50.9333,6.95,16.57,63,0,2.57,DE,1686627983
90,tiksi,71.6872,128.8694,3.49,95,100,2.89,RU,1686627975
91,st. john's,47.5649,-52.7093,9.26,96,100,9.77,CA,1686627743
92,olonkinbyen,70.9221,-8.7187,1.79,90,100,10.19,SJ,1686627977
93,wailua homesteads,22.0669,-159.378,27.24,82,40,6.17,US,1686627984
94,yellowknife,62.456,-114.3525,8.29,71,100,3.09,CA,1686627673
95,howard springs,-12.497,131.047,32.12,24,100,4.3,AU,1686627983
96,torghay,49.6339,63.4981,22.93,41,66,10.67,KZ,1686628093
97,buka,40.8108,69.1986,32.37,27,100,0.82,UZ,1686628005
98,homer,59.6425,-151.5483,10.93,69,100,5.36,US,1686628073
99,udachny,66.4167,112.4,18.03,29,16,7.14,RU,1686627991
100,vadlapudi,14.3167,79.8,36.22,34,87,7.16,IN,1686628093
101,buncrana,55.1333,-7.45,14.33,92,96,1.41,IE,1686628002
102,mahibadhoo,3.7833,72.9667,28.9,76,93,7.05,MV,1686628093
103,margherita di savoia,41.3742,16.1502,19.96,80,0,3.55,IT,1686628093
104,pemangkat,1.1667,108.9667,30.53,66,31,2.64,ID,1686628093
105,kodiak,57.79,-152.4072,12.73,44,100,6.17,US,1686627973
106,kasane,-17.8167,25.15,16.05,31,0,3.6,BW,1686628094
107,margaret river,-33.95,115.0667,16.13,70,100,8.08,AU,1686627969
108,owerri,5.4833,7.0304,22.8,97,100,1.79,NG,1686628094
109,kem',64.9555,34.5793,15.9,49,80,7.21,RU,1686628094
110,thompson,55.7435,-97.8558,7.09,87,100,3.6,CA,1686628094
111,mount isa,-20.7333,139.5,28.87,17,16,4.63,AU,1686628008
112,guelmim,28.987,-10.0574,19.39,79,76,7.66,MA,1686628094
113,kone,-21.0595,164.8658,24.51,54,21,2.99,NC,1686628002
114,baotou,40.6522,109.8222,26.23,18,0,1.77,CN,1686628094
115,kutahya,39.4242,29.9833,12.97,88,83,1.73,TR,1686628094
116,georgetown,5.4112,100.3354,31.97,66,20,3.6,MY,1686627939
117,tofol,5.3248,163.0078,29.88,74,100,1.54,FM,1686628001
118,kauhajoki,62.4333,22.1833,13.39,58,94,4.47,FI,1686628095
119,selfoss,63.9331,-20.9971,6.69,81,23,1.66,IS,1686628019
120,anadyr,64.75,177.4833,14.28,47,0,4.0,RU,1686627975
121,jamestown,42.097,-79.2353,12.8,94,100,3.6,US,1686627700
122,college,64.8569,-147.8028,16.97,41,75,6.17,US,1686627885
123,dali,25.7,100.1833,16.92,84,100,1.12,CN,1686628095
124,karachi,24.9056,67.0822,32.9,49,75,8.23,PK,1686628095
125,ancud,-41.8697,-73.8203,4.37,89,71,2.57,CL,1686627993
126,port moresby,-9.4431,147.1797,29.68,70,40,2.57,PG,1686628095
127,merritt island,28.5392,-80.672,28.03,80,0,5.81,US,1686628095
128,cafayate,-26.073,-65.9761,2.2,64,60,1.06,AR,1686628096
129,gouyave,12.1646,-61.7296,25.43,100,75,5.66,GD,1686628096
130,tafuna,-14.3358,-170.72,28.11,73,41,6.49,AS,1686628096
131,metlili chaamba,32.2667,3.6333,23.52,50,1,10.29,DZ,1686628096
132,kamuli,0.9472,33.1197,16.65,95,99,0.76,UG,1686628096
133,ataq,14.5377,46.8319,29.24,31,92,2.12,YE,1686628096
134,brandon,27.9378,-82.2859,27.92,79,0,1.54,US,1686627859
135,kaoma,-14.7833,24.8,12.52,53,87,0.49,ZM,1686628096
136,lompoc,34.6391,-120.4579,17.1,83,100,4.02,US,1686628002
137,crane,31.3974,-102.3501,30.49,15,2,4.41,US,1686628097
138,pandan,14.0453,124.1694,32.01,60,100,1.64,PH,1686627987
139,tangalle,6.024,80.7911,31.09,68,100,6.47,LK,1686628000
140,kirensk,57.7853,108.1119,18.41,30,100,5.49,RU,1686628097
141,plastun,44.7561,136.2939,15.47,77,93,2.75,RU,1686628097
142,lebu,-37.6167,-73.65,7.69,69,0,5.46,CL,1686628033
143,uturoa,-16.7333,-151.4333,27.06,75,23,7.79,PF,1686627996
144,yuzhno-kurilsk,44.0306,145.8556,11.54,96,100,3.89,RU,1686627973
145,porto novo,6.4965,2.6036,26.9,83,98,2.54,BJ,1686628012
146,isafjordur,66.0755,-23.124,7.58,81,76,2.72,IS,1686627968
147,ciamis,-7.3257,108.3534,27.3,80,99,1.79,ID,1686628098
148,calolbon,13.596,124.0991,30.6,69,100,3.52,PH,1686628098
149,korla,41.7597,86.1469,34.03,16,90,1.85,CN,1686627974
150,nova sintra,14.8667,-24.7167,21.22,85,100,9.54,CV,1686628098
151,pahasu,28.1833,78.05,40.49,22,0,8.6,IN,1686628098
152,vernon,50.2581,-119.2691,31.2,49,51,0.0,CA,1686627908
153,bubaque,11.2833,-15.8333,26.45,84,100,5.57,GW,1686628098
154,santa terezinha,-29.9002,-50.0904,8.79,72,84,4.26,BR,1686628098
155,tobruk,32.0836,23.9764,20.81,92,1,4.88,LY,1686628004
156,nemuro,43.3236,145.575,11.91,96,100,5.4,JP,1686627948
157,pangody,65.85,74.4859,5.95,52,17,7.68,RU,1686628017
158,larnaca,34.9167,33.6292,23.86,83,20,1.54,CY,1686628099
159,okha,53.5739,142.9478,8.56,88,96,4.1,RU,1686628099
160,weno,7.4515,151.8468,29.97,84,100,3.6,FM,1686628000
161,cascais,38.6979,-9.4215,18.06,88,1,6.71,PT,1686628099
162,fernley,39.608,-119.2518,18.65,44,77,3.02,US,1686628099
163,pacific grove,36.6177,-121.9166,15.37,84,75,3.58,US,1686627988
164,dalcahue,-42.3628,-73.7022,1.78,93,20,2.06,CL,1686628099
165,nizao,18.25,-70.2,26.04,78,1,4.62,DO,1686628099
166,tazovsky,67.4667,78.7,1.83,87,100,8.02,RU,1686628019
167,hami,42.8,93.45,34.76,14,82,2.82,CN,1686627992
168,pecos,31.4229,-103.4932,33.5,12,0,0.0,US,1686627901
169,ust-nera,64.5667,143.2,8.29,76,100,2.94,RU,1686627899
170,jabor,5.921,169.6434,27.79,82,100,6.79,MH,1686628100
171,port elizabeth,-33.918,25.5701,13.94,66,0,3.6,ZA,1686627973
172,happy valley-goose bay,53.3168,-60.3315,15.17,47,75,0.0,CA,1686627905
173,muynoq,43.7683,59.0214,30.72,18,1,7.58,UZ,1686628100
174,iskateley,67.6803,53.1512,10.64,47,84,3.91,RU,1686627983
175,desaguadero,-16.5656,-69.0417,4.75,36,46,0.94,PE,1686628100
176,fuwwah,31.2029,30.5502,21.31,74,1,0.92,EG,1686628100
177,beyneu,45.3167,55.2,30.44,14,7,4.81,KZ,1686628013
178,nabire,-3.3667,135.4833,29.44,67,99,1.51,ID,1686628100
179,nizhneudinsk,54.9076,99.0276,15.64,69,82,1.82,RU,1686628100
180,yaren,-0.5472,166.916,28.36,76,99,2.81,NR,1686628100
